CustomerID,RecencyDays,Frequency,Monetary,TenureDays,Segment,Cluster,PCA1,PCA2,MadePurchase
12347.0,95,5,2540.29,420,At Risk,1,1.3984215404147835,-0.361597231333688,0
12348.0,220,1,367.0,0,New Customers,2,-0.9492366401310577,0.3326259123695028,0
12350.0,311,1,334.4,0,New Customers,2,-1.2113454951868083,0.7866606852133866,0
12352.0,274,5,456.0799999999999,66,New Customers,2,-0.4062323108478684,0.7365129555538741,0
12355.0,96,1,459.4,0,Loyal Customers,0,-0.586584284972181,-0.2787781055595424,0
12356.0,128,1,481.46000000000004,0,Loyal Customers,0,-0.6749162765694247,-0.11403025534482679,0
12357.0,182,1,6207.67,0,Loyal Customers,0,-0.17264091562850656,1.0272924545982964,0
12358.0,3,2,1168.06,116,Loyal Customers,0,0.22745611950760977,-0.7545916009955972,1
12359.0,9,4,3404.48,292,At Risk,1,1.2368353096750568,-0.532593161373718,1
12362.0,30,5,2135.79,213,Loyal Customers,0,0.918122814410018,-0.45169268205207985,0
12363.0,36,1,299.1,0,Loyal Customers,0,-0.4345790355348475,-0.605729245645059,0
12364.0,301,1,310.32,0,New Customers,2,-1.1857094131975177,0.7325689461420785,0
12367.0,212,1,168.9,0,New Customers,2,-0.9492028291189951,0.26221392458940374,0
12370.0,68,1,938.39,0,Loyal Customers,0,-0.452243947025041,-0.3473159369548478,0
12371.0,30,1,1527.96,0,Loyal Customers,0,-0.27685021262363724,-0.4495106765831833,0
12372.0,35,1,515.7,0,Loyal Customers,0,-0.40694105330989105,-0.5779036695727634,0
12373.0,342,1,364.6,0,New Customers,2,-1.2959062309319482,0.9476000342944911,0
12375.0,151,2,228.22,152,Loyal Customers,0,-0.1927909587048462,-0.20276052856944835,0
12378.0,305,1,4008.62,0,New Customers,2,-0.7736457521800483,1.3139658274127286,0
12379.0,156,1,-1.95,0,Loyal Customers,0,-0.8097626633056274,-0.04616316472113287,0
12380.0,157,1,607.5500000000001,0,Loyal Customers,0,-0.7428198978734152,0.05137301292334982,0
12381.0,0,5,1845.31,211,At Risk,1,0.9640683653261414,-0.6441959386188509,1
12383.0,9,2,750.61,117,Loyal Customers,0,0.1656143011518742,-0.7891227258346797,1
12384.0,29,2,585.27,33,Loyal Customers,0,-0.1611041165415808,-0.5919511952825309,1
